{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -4.0, 'gyro_y': 1.5, 'gyro_z': 0.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 249916.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 0.7, 'gyro_z': 0.9, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 250371.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': -0.5, 'gyro_z': 0.7, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 250825.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.7, 'gyro_y': -0.3, 'gyro_z': 0.6, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 251281.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 0.4, 'gyro_z': 0.9, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 251736.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.3, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.8, 'gyro_y': 0.5, 'gyro_z': 0.7, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 252190.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 1.1, 'gyro_z': 0.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 252645.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 0.5, 'gyro_z': 0.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 253101.0}
{'temperatura': 26.2, 'presion': 1008.1, 'altitud': 0.3, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 1.5, 'gyro_z': 0.6, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 253555.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -2.9, 'gyro_y': -0.7, 'gyro_z': 0.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 254010.0}
{'temperatura': 26.2, 'presion': 1008.1, 'altitud': 0.2, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': -0.8, 'gyro_z': 0.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 254465.0}
{'temperatura': 26.2, 'presion': 1008.1, 'altitud': 0.3, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': 0.2, 'gyro_z': 0.9, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 254920.0}
{'temperatura': 26.2, 'presion': 1008.1, 'altitud': 0.1, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.7, 'gyro_y': 1.5, 'gyro_z': 0.9, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 255375.0}
{'temperatura': 26.2, 'presion': 1008.1, 'altitud': 0.3, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': 2.3, 'gyro_z': 0.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 255830.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 1.0, 'gyro_z': 0.9, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 256284.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.7, 'gyro_y': 2.3, 'gyro_z': 0.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 256740.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.1, 'gyro_y': -1.3, 'gyro_z': 0.1, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 257195.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.6, 'gyro_x': -3.2, 'gyro_y': 2.8, 'gyro_z': 0.7, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 257649.0}
{'temperatura': 26.3, 'presion': 1008.1, 'altitud': 0.6, 'aceleracion_x': -0.8, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -2.7, 'gyro_y': -0.9, 'gyro_z': -1.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 257974.0}
{'temperatura': 26.3, 'presion': 1008.1, 'altitud': 0.3, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': -0.2, 'gyro_z': 0.7, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 258429.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': 0.3, 'gyro_z': 1.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 258884.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.0, 'gyro_y': 0.9, 'gyro_z': -2.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 259339.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': -0.4, 'gyro_z': -0.3, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 259794.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 1.0, 'gyro_z': 0.4, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 260249.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.8, 'gyro_y': 2.1, 'gyro_z': 1.0, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 260519.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.5, 'gyro_y': 0.5, 'gyro_z': 0.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 260975.0}
{'temperatura': 26.3, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.8, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.9, 'gyro_y': -1.6, 'gyro_z': -0.1, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 261430.0}
